productionBudgetRank,wordlwideGrossRank,releaseDate,movieName,productionBudget,worldwideGross,URL
1,1,18-Dec-09,"Avatar","425000000","$2,783,918,982","http://upload.wikimedia.org/wikipedia/commons/7/79/Big_Buck_Bunny_small.ogv"
2,2,18-Dec-15,"Star Wars Ep. VII: The Force Awakens","$306,000,000 ","$2,058,662,225 ","http://yt-dash-mse-test.commondatastorage.googleapis.com/media/car-20120827-85.mp4"
3,5,24-May-07,"Pirates of the Caribbean: At World’s End","$300,000,000 ","$963,420,425 ","https://upload.wikimedia.org/wikipedia/commons/f/f9/STS-132_Liftoff_Space_Shuttle_Atlantis.ogv"
4,7,6-Nov-15,"Spectre","$300,000,000 ","$879,620,923 ","https://upload.wikimedia.org/wikipedia/commons/0/04/Play_fight_of_polar_bears_edit_1.ogv"
5,4,20-Jul-12,"The Dark Knight Rises","$275,000,000 ","$1,084,439,099 ","https://upload.wikimedia.org/wikipedia/commons/9/9c/Enallagma_cyathigerum_2.ogv"
7,9,9-Mar-12,"John Carter","$275,000,000 ","$282,778,100 ","https://upload.wikimedia.org/wikipedia/commons/8/82/Sarychev_Peak_eruption_on_12_June_2009%2C_oblique_satellite_view.ogv"
6,10,2-Jul-13,"The Lone Ranger","$275,000,000 ","$260,002,115 ","http://upload.wikimedia.org/wikipedia/commons/7/79/Big_Buck_Bunny_small.ogv"
8,8,24-Nov-10,"Tangled","$260,000,000 ","$586,581,936 ","http://yt-dash-mse-test.commondatastorage.googleapis.com/media/car-20120827-85.mp4"
9,6,4-May-07,"Spider-Man 3","$258,000,000 ","$890,875,303 ","https://upload.wikimedia.org/wikipedia/commons/f/f9/STS-132_Liftoff_Space_Shuttle_Atlantis.ogv"
10,3,1-5-15,"Avengers: Age of Ultron","$250,000,000 ","$1,404,705,868 ","https://upload.wikimedia.org/wikipedia/commons/0/04/Play_fight_of_polar_bears_edit_1.ogv"